Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.,
123456780,13426758,10,9,203355,Right->Down->Down->Right->Left->Up->Up->Left->Right->Left->DONE,10,9,113631,Right->Down->Down->Right->Left->Up->Up->Left->Right->Left->DONE,
123456780,123405786,8,6,61354,Down->Right->Down->Up->Left->Right->Left->Up->DONE,8,6,50607,Down->Right->Down->Up->Left->Right->Left->Up->DONE,
123456780,130426758,10,9,131927,Right->Down->Down->Left->Right->Left->Right->Up->Up->Left->DONE,10,9,65788,Right->Down->Down->Left->Right->Left->Right->Up->Up->Left->DONE,
123456780,123468750,18,11,84626,Right->Down->Left->Up->Down->Up->Down->Up->Down->Right->Left->Down->Up->Right->Up->Left->Right->Left->DONE,18,9,71593,Right->Down->Left->Up->Down->Up->Down->Up->Down->Right->Left->Down->Up->Right->Up->Left->Right->Left->DONE,
123456780,123406758,8,6,43448,Right->Down->Right->Up->Down->Left->Up->Left->DONE,8,6,39899,Right->Down->Right->Up->Down->Left->Up->Left->DONE,
123456780,123506478,16,9,88173,Right->Right->Down->Left->Right->Up->Left->Down->Right->Left->Down->Up->Up->Right->Left->Left->DONE,16,9,97060,Right->Right->Down->Left->Right->Up->Left->Down->Right->Left->Down->Up->Up->Right->Left->Left->DONE,
123456780,123406758,8,6,67551,Right->Down->Up->Left->Right->Down->Up->Left->DONE,8,6,43419,Right->Down->Up->Left->Right->Down->Up->Left->DONE,
123456780,123560478,10,11,77237,Right->Right->Down->Left->Left->Right->Right->Up->Left->Left->DONE,10,11,52281,Right->Right->Down->Left->Left->Right->Right->Up->Left->Left->DONE,
123456780,103426758,10,8,36442,Right->Down->Down->Up->Up->Right->Down->Up->Left->Left->DONE,10,8,36478,Right->Down->Down->Up->Up->Right->Down->Up->Left->Left->DONE,
123456780,413726058,18,12,60892,Right->Down->Down->Right->Up->Up->Down->Up->Down->Up->Down->Left->Right->Down->Left->Up->Up->Left->DONE,18,12,106570,Right->Down->Down->Right->Up->Up->Down->Up->Down->Up->Down->Left->Right->Down->Left->Up->Up->Left->DONE,
123456780,203145786,18,11,55314,Down->Right->Right->Down->Left->Right->Up->Left->Right->Left->Up->Down->Left->Up->Down->Up->Down->Up->DONE,18,11,56586,Down->Right->Right->Down->Left->Right->Up->Left->Right->Left->Up->Down->Left->Up->Down->Up->Down->Up->DONE,
123456780,123456708,14,3,16230,Right->Left->Down->Down->Up->Up->Right->Down->Left->Right->Up->Left->Right->Left->DONE,14,3,15266,Right->Left->Down->Down->Up->Up->Right->Down->Left->Right->Up->Left->Right->Left->DONE,
123456780,123485706,8,8,33479,Down->Right->Up->Down->Left->Up->Right->Left->DONE,8,8,34542,Down->Right->Up->Down->Left->Up->Right->Left->DONE,
123456780,162438705,18,57,305982,Right->Down->Left->Down->Right->Up->Left->Up->Right->Left->Down->Right->Down->Left->Up->Right->Up->Left->DONE,18,22,111217,Right->Down->Left->Down->Right->Up->Left->Up->Right->Left->Down->Right->Down->Left->Up->Right->Up->Left->DONE,
123456780,136428705,18,25,132666,Right->Down->Down->Left->Up->Up->Right->Right->Left->Right->Left->Left->Down->Down->Right->Up->Up->Left->DONE,18,14,75631,Right->Down->Down->Left->Up->Up->Right->Right->Left->Right->Left->Left->Down->Down->Right->Up->Up->Left->DONE,
123456780,13426758,12,9,43787,Right->Down->Down->Right->Left->Up->Up->Right->Left->Left->Down->Up->DONE,12,9,43670,Right->Down->Down->Right->Left->Up->Up->Right->Left->Left->Down->Up->DONE,
123456780,123405786,8,6,26725,Down->Right->Up->Down->Right->Left->Left->Up->DONE,8,6,24564,Down->Right->Up->Down->Right->Left->Left->Up->DONE,
123456780,123405786,4,6,21283,Down->Right->Left->Up->DONE,4,6,30107,Down->Right->Left->Up->DONE,
123456780,123456708,10,3,13576,Right->Right->Left->Left->Right->Left->Down->Up->Down->Up->DONE,10,3,15158,Right->Right->Left->Left->Right->Left->Down->Up->Down->Up->DONE,
123456780,123460758,14,8,39279,Right->Down->Left->Right->Left->Right->Up->Right->Down->Up->Left->Left->Down->Up->DONE,14,8,38972,Right->Down->Left->Right->Left->Right->Up->Right->Down->Up->Left->Left->Down->Up->DONE,
123456780,412530786,18,16,125033,Down->Down->Right->Right->Up->Left->Left->Right->Right->Down->Left->Right->Left->Left->Up->Up->Right->Left->DONE,18,15,87521,Down->Down->Right->Right->Up->Left->Left->Right->Right->Down->Left->Right->Left->Left->Up->Up->Right->Left->DONE,
123456780,152403786,14,9,43332,Down->Down->Right->Up->Left->Right->Up->Down->Up->Down->Down->Left->Up->Up->DONE,14,9,42675,Down->Down->Right->Up->Left->Right->Up->Down->Up->Down->Down->Left->Up->Up->DONE,
123456780,123450786,10,3,13506,Down->Right->Right->Up->Down->Left->Left->Up->Down->Up->DONE,10,3,14200,Down->Right->Right->Up->Down->Left->Left->Up->Down->Up->DONE,
123456780,123456708,6,3,12554,Right->Down->Up->Left->Down->Up->DONE,6,3,11811,Right->Down->Up->Left->Down->Up->DONE,
123456780,130425786,8,9,88455,Down->Right->Down->Left->Right->Up->Left->Up->DONE,8,9,65400,Down->Right->Down->Left->Right->Up->Left->Up->DONE,
123456780,120453786,10,4,30675,Down->Down->Up->Up->Down->Up->Right->Down->Up->Left->DONE,10,4,35041,Down->Down->Up->Up->Down->Up->Right->Down->Up->Left->DONE,
123456780,123045786,10,8,55752,Down->Right->Right->Left->Up->Down->Left->Up->Down->Up->DONE,10,8,54117,Down->Right->Right->Left->Up->Down->Left->Up->Down->Up->DONE,
123456780,103526478,18,11,84449,Right->Right->Down->Left->Down->Right->Left->Left->Right->Up->Right->Down->Up->Up->Left->Left->Down->Up->DONE,18,11,95942,Right->Right->Down->Left->Down->Right->Left->Left->Right->Up->Right->Down->Up->Up->Left->Left->Down->Up->DONE,
123456780,103426758,14,8,72872,Right->Down->Down->Right->Left->Up->Right->Up->Down->Left->Up->Left->Right->Left->DONE,14,8,58368,Right->Down->Down->Right->Left->Up->Right->Up->Down->Left->Up->Left->Right->Left->DONE,
