Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.
123456780,123456708,3,3,209200,Right->Left->Right->DONE,3,3,158735,Right->Left->Right->DONE
123456780,123456780,3,0,5630,Right->Left->Right->DONE,3,0,4347,Right->Left->Right->DONE
123456780,123456780,3,0,3724,Right->Left->Right->DONE,3,0,2900,Right->Left->Right->DONE
123456780,123456708,3,3,34544,Right->Left->Right->DONE,3,3,33611,Right->Left->Right->DONE
123456780,123456780,3,0,3778,Right->Down->Up->DONE,3,0,2619,Right->Down->Up->DONE
123456780,123456708,3,3,13668,Right->Down->Up->DONE,3,3,13510,Right->Down->Up->DONE
123456780,123456708,3,3,13745,Right->Right->Left->DONE,3,3,13641,Right->Right->Left->DONE
123456780,123456708,3,3,11475,Right->Left->Right->DONE,3,3,13027,Right->Left->Right->DONE
123456780,123456708,5,3,46506,Right->Down->Right->Left->Up->DONE,5,3,38411,Right->Down->Right->Left->Up->DONE
123456780,120453786,5,4,43811,Down->Down->Up->Up->Right->DONE,5,4,44747,Down->Down->Up->Up->Right->DONE
123456780,123456780,5,0,4786,Down->Up->Right->Left->Right->DONE,5,0,3853,Down->Up->Right->Left->Right->DONE
123456780,123056478,5,6,54814,Right->Right->Down->Up->Left->DONE,5,6,63732,Right->Right->Down->Up->Left->DONE
123456780,123406758,5,6,409421,Right->Down->Up->Down->Up->DONE,5,6,57105,Right->Down->Up->Down->Up->DONE
123456780,123056478,5,6,60942,Right->Right->Down->Up->Left->DONE,5,6,63521,Right->Right->Down->Up->Left->DONE
123456780,123456078,5,4,35839,Right->Right->Left->Right->Left->DONE,5,4,35240,Right->Right->Left->Right->Left->DONE
123456780,123450786,5,3,12580,Down->Up->Right->Left->Right->DONE,5,3,13379,Down->Up->Right->Left->Right->DONE
123456780,123456780,5,0,1704,Down->Down->Up->Up->Right->DONE,5,0,1114,Down->Down->Up->Up->Right->DONE
123456780,123460758,5,8,36087,Right->Down->Left->Right->Up->DONE,5,8,38476,Right->Down->Left->Right->Up->DONE
123456780,123056478,5,6,28545,Right->Right->Down->Up->Left->DONE,5,6,30194,Right->Right->Down->Up->Left->DONE
123456780,123450786,5,3,18421,Down->Up->Right->Right->Left->DONE,5,3,20283,Down->Up->Right->Right->Left->DONE
123456780,123456780,5,0,1284,Right->Right->Down->Up->Left->DONE,5,0,668,Right->Right->Down->Up->Left->DONE
123456780,123456078,7,4,97234,Right->Right->Down->Down->Up->Up->Left->DONE,7,4,73847,Right->Right->Down->Down->Up->Up->Left->DONE
123456780,123406758,7,6,73555,Right->Down->Up->Down->Right->Left->Up->DONE,7,6,78030,Right->Down->Up->Down->Right->Left->Up->DONE
123456780,123456780,7,0,6014,Right->Left->Right->Left->Down->Up->Right->DONE,7,0,16285,Right->Left->Right->Left->Down->Up->Right->DONE
123456780,123406758,7,6,71009,Right->Down->Up->Down->Up->Right->Left->DONE,7,6,97008,Right->Down->Up->Down->Up->Right->Left->DONE
123456780,123460758,7,8,87149,Right->Down->Left->Right->Left->Right->Up->DONE,7,8,115515,Right->Down->Left->Right->Left->Right->Up->DONE
123456780,123456708,7,3,20411,Right->Down->Down->Up->Up->Right->Left->DONE,7,3,23978,Right->Down->Down->Up->Up->Right->Left->DONE
123456780,123460758,7,8,99368,Right->Down->Left->Right->Down->Up->Up->DONE,7,8,100868,Right->Down->Left->Right->Down->Up->Up->DONE
123456780,123450786,7,3,32882,Down->Down->Right->Left->Up->Up->Right->DONE,7,3,36050,Down->Down->Right->Left->Up->Up->Right->DONE
123456780,123456708,7,3,32053,Right->Right->Down->Up->Left->Right->Left->DONE,7,3,36575,Right->Right->Down->Up->Left->Right->Left->DONE
123456780,123056478,7,6,70139,Right->Right->Down->Up->Left->Right->Left->DONE,7,6,77105,Right->Right->Down->Up->Left->Right->Left->DONE
123456780,123456708,7,3,35417,Right->Down->Up->Left->Right->Left->Right->DONE,7,3,33332,Right->Down->Up->Left->Right->Left->Right->DONE
123456780,123046758,7,8,84256,Right->Down->Right->Left->Down->Up->Up->DONE,7,8,92409,Right->Down->Right->Left->Down->Up->Up->DONE
123456780,123460758,7,8,70119,Right->Down->Left->Right->Up->Right->Left->DONE,7,8,84321,Right->Down->Left->Right->Up->Right->Left->DONE
123456780,123056478,7,6,55901,Right->Right->Down->Up->Left->Right->Left->DONE,7,6,57735,Right->Right->Down->Up->Left->Right->Left->DONE
123456780,123056478,7,6,117033,Right->Right->Down->Up->Left->Left->Right->DONE,7,6,33374,Right->Right->Down->Up->Left->Left->Right->DONE
123456780,123056478,7,6,29151,Right->Right->Down->Up->Down->Up->Left->DONE,7,6,31522,Right->Right->Down->Up->Down->Up->Left->DONE
123456780,123056478,7,6,29209,Right->Right->Down->Down->Up->Up->Left->DONE,7,6,36202,Right->Right->Down->Down->Up->Up->Left->DONE
123456780,23156478,7,7,39210,Right->Right->Down->Down->Up->Up->Left->DONE,7,7,36667,Right->Right->Down->Down->Up->Up->Left->DONE
123456780,123456780,7,0,2277,Down->Up->Right->Right->Left->Left->Right->DONE,7,0,1381,Down->Up->Right->Right->Left->Left->Right->DONE
123456780,123456078,7,4,22389,Right->Right->Left->Left->Right->Right->Left->DONE,7,4,29822,Right->Right->Left->Left->Right->Right->Left->DONE
123456780,123460758,7,8,57971,Right->Down->Left->Right->Left->Right->Up->DONE,7,8,61587,Right->Down->Left->Right->Left->Right->Up->DONE
123456780,123460758,7,8,38102,Right->Down->Left->Right->Right->Left->Up->DONE,7,8,38706,Right->Down->Left->Right->Right->Left->Up->DONE
123456780,123405786,7,6,26742,Down->Right->Left->Up->Down->Up->Right->DONE,7,6,34173,Down->Right->Left->Up->Down->Up->Right->DONE
123456780,123746058,7,9,70172,Right->Down->Right->Up->Down->Left->Up->DONE,7,9,69876,Right->Down->Right->Up->Down->Left->Up->DONE
123456780,123405786,7,6,50084,Down->Right->Left->Up->Down->Up->Right->DONE,7,6,41920,Down->Right->Left->Up->Down->Up->Right->DONE
123456780,123406758,7,6,40813,Right->Down->Left->Right->Up->Left->Right->DONE,7,6,51830,Right->Down->Left->Right->Up->Left->Right->DONE
123456780,123456078,7,4,18307,Right->Right->Left->Right->Left->Down->Up->DONE,7,4,17825,Right->Right->Left->Right->Left->Down->Up->DONE
123456780,123456708,9,3,87009,Right->Left->Right->Down->Right->Left->Up->Left->Right->DONE,9,3,76673,Right->Left->Right->Down->Right->Left->Up->Left->Right->DONE
123456780,13426758,9,9,136614,Right->Down->Down->Right->Left->Up->Up->Left->Right->DONE,9,9,113065,Right->Down->Down->Right->Left->Up->Up->Left->Right->DONE
123456780,123406758,9,6,88629,Right->Down->Up->Right->Down->Left->Right->Up->Left->DONE,9,6,236977,Right->Down->Up->Right->Down->Left->Right->Up->Left->DONE
123456780,12453786,9,7,162463,Down->Down->Right->Right->Left->Left->Up->Up->Right->DONE,9,7,147683,Down->Down->Right->Right->Left->Left->Up->Up->Right->DONE
123456780,123560478,9,11,163879,Right->Right->Down->Left->Left->Right->Right->Up->Left->DONE,9,11,190722,Right->Right->Down->Left->Left->Right->Right->Up->Left->DONE
123456780,123045786,9,8,109414,Down->Right->Right->Left->Right->Left->Left->Up->Right->DONE,9,8,76771,Down->Right->Right->Left->Right->Left->Left->Up->Right->DONE
