Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time(mili),Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time(mili),Man. Seq.,
123456780,728643150,16,496,4,Swap 7 & 4->Swap 6 & 3->Swap 6 & 2->Swap 8 & 5->Swap 8 & 6->Swap 7 & 1->Swap 4 & 1->Swap 6 & 4->Swap 2 & 8->Swap 4 & 6->Swap 3 & 8->Swap 8 & 6->Swap 5 & 8->Swap 1 & 4->Swap 1 & 7->Swap 4 & 7->DONE,16,78,1,Swap 7 & 4->Swap 6 & 3->Swap 6 & 2->Swap 8 & 5->Swap 8 & 6->Swap 7 & 1->Swap 4 & 1->Swap 6 & 4->Swap 2 & 8->Swap 3 & 8->Swap 4 & 6->Swap 8 & 6->Swap 5 & 8->Swap 4 & 7->Swap 1 & 7->Swap 1 & 4->DONE,
123456780,123456780,0,0,0,DONE,0,0,0,DONE,
123456780,213786450,12,34,0,Swap 2 & 1->Swap 8 & 5->Swap 6 & 3->Swap 3 & 8->Swap 8 & 6->Swap 6 & 3->Swap 3 & 8->Swap 8 & 6->Swap 7 & 4->Swap 1 & 2->Swap 4 & 7->Swap 5 & 8->DONE,12,34,0,Swap 2 & 1->Swap 8 & 5->Swap 6 & 3->Swap 3 & 8->Swap 8 & 6->Swap 6 & 3->Swap 3 & 8->Swap 8 & 6->Swap 7 & 4->Swap 1 & 2->Swap 4 & 7->Swap 5 & 8->DONE,
123456780,132758406,12,45,0,Swap 0 & 8->Swap 6 & 5->Swap 7 & 4->Swap 3 & 2->Swap 8 & 0->Swap 0 & 8->Swap 5 & 6->Swap 8 & 6->Swap 2 & 3->Swap 4 & 7->Swap 6 & 8->Swap 8 & 0->DONE,12,45,1,Swap 0 & 8->Swap 6 & 5->Swap 7 & 4->Swap 3 & 2->Swap 8 & 0->Swap 0 & 8->Swap 5 & 6->Swap 8 & 6->Swap 2 & 3->Swap 4 & 7->Swap 6 & 8->Swap 8 & 0->DONE,
123456780,726153480,12,34,0,Swap 7 & 4->Swap 8 & 5->Swap 5 & 8->Swap 6 & 3->Swap 3 & 6->Swap 6 & 3->Swap 6 & 2->Swap 7 & 1->Swap 2 & 6->Swap 3 & 6->Swap 1 & 7->Swap 4 & 7->DONE,12,34,1,Swap 7 & 4->Swap 8 & 5->Swap 5 & 8->Swap 6 & 3->Swap 3 & 6->Swap 6 & 3->Swap 6 & 2->Swap 7 & 1->Swap 2 & 6->Swap 1 & 7->Swap 3 & 6->Swap 4 & 7->DONE,
123456780,13862574,26,6633,39,Swap 5 & 2->Swap 8 & 2->Swap 5 & 1->Swap 6 & 8->Swap 2 & 6->Swap 0 & 8->Swap 8 & 6->Swap 6 & 0->Swap 6 & 2->Swap 6 & 4->Swap 8 & 7->Swap 2 & 4->Swap 0 & 4->Swap 0 & 2->Swap 0 & 6->Swap 0 & 5->Swap 8 & 5->Swap 1 & 0->Swap 2 & 6->Swap 2 & 0->Swap 4 & 7->Swap 4 & 5->Swap 4 & 8->Swap 5 & 0->Swap 7 & 0->Swap 7 & 8->DONE,26,121,1,Swap 5 & 2->Swap 8 & 2->Swap 5 & 1->Swap 6 & 8->Swap 2 & 6->Swap 0 & 8->Swap 8 & 6->Swap 6 & 0->Swap 6 & 2->Swap 6 & 4->Swap 8 & 7->Swap 2 & 4->Swap 0 & 4->Swap 0 & 2->Swap 0 & 6->Swap 0 & 5->Swap 8 & 5->Swap 1 & 0->Swap 5 & 8->Swap 2 & 6->Swap 2 & 0->Swap 7 & 8->Swap 8 & 0->Swap 4 & 0->Swap 4 & 8->Swap 4 & 5->DONE,
123456780,123056874,14,546,2,Swap 7 & 4->Swap 8 & 4->Swap 0 & 4->Swap 0 & 5->Swap 5 & 0->Swap 0 & 5->Swap 0 & 7->Swap 5 & 7->Swap 8 & 0->Swap 7 & 0->Swap 4 & 0->Swap 5 & 8->Swap 4 & 8->Swap 4 & 5->DONE,14,122,1,Swap 7 & 4->Swap 8 & 4->Swap 0 & 4->Swap 0 & 5->Swap 5 & 0->Swap 0 & 5->Swap 0 & 7->Swap 5 & 7->Swap 4 & 7->Swap 4 & 8->Swap 4 & 0->Swap 8 & 0->Swap 7 & 0->Swap 7 & 8->DONE,
123456780,642185730,20,338,2,Swap 8 & 5->Swap 4 & 1->Swap 0 & 5->Swap 5 & 0->Swap 0 & 5->Swap 8 & 1->Swap 6 & 3->Swap 6 & 2->Swap 5 & 3->Swap 3 & 0->Swap 3 & 1->Swap 6 & 4->Swap 1 & 3->Swap 1 & 8->Swap 3 & 8->Swap 5 & 3->Swap 4 & 6->Swap 1 & 4->Swap 2 & 6->Swap 3 & 6->DONE,20,67,0,Swap 8 & 5->Swap 4 & 1->Swap 0 & 5->Swap 5 & 0->Swap 0 & 5->Swap 8 & 1->Swap 6 & 3->Swap 6 & 2->Swap 5 & 3->Swap 3 & 0->Swap 3 & 1->Swap 6 & 4->Swap 1 & 3->Swap 1 & 8->Swap 1 & 6->Swap 3 & 8->Swap 3 & 4->Swap 2 & 3->Swap 4 & 6->Swap 5 & 6->DONE,
123456780,258730146,24,3512,17,Swap 7 & 4->Swap 2 & 1->Swap 6 & 3->Swap 5 & 1->Swap 8 & 1->Swap 3 & 6->Swap 6 & 3->Swap 3 & 8->Swap 7 & 2->Swap 1 & 4->Swap 3 & 5->Swap 5 & 3->Swap 8 & 6->Swap 0 & 6->Swap 2 & 7->Swap 6 & 0->Swap 1 & 7->Swap 6 & 3->Swap 5 & 2->Swap 3 & 8->Swap 8 & 6->Swap 4 & 8->Swap 1 & 5->Swap 4 & 5->DONE,24,165,1,Swap 7 & 4->Swap 2 & 1->Swap 6 & 3->Swap 5 & 1->Swap 8 & 1->Swap 3 & 6->Swap 6 & 3->Swap 3 & 8->Swap 7 & 2->Swap 1 & 4->Swap 3 & 5->Swap 5 & 3->Swap 8 & 6->Swap 0 & 6->Swap 2 & 7->Swap 3 & 5->Swap 8 & 3->Swap 1 & 7->Swap 6 & 0->Swap 8 & 2->Swap 1 & 8->Swap 7 & 8->Swap 4 & 8->Swap 4 & 7->DONE,
123456780,347250168,18,3420,16,Swap 7 & 4->Swap 7 & 1->Swap 0 & 6->Swap 2 & 7->Swap 3 & 7->Swap 4 & 1->Swap 6 & 8->Swap 4 & 2->Swap 3 & 4->Swap 8 & 6->Swap 6 & 0->Swap 7 & 4->Swap 7 & 3->Swap 2 & 7->Swap 1 & 7->Swap 4 & 3->Swap 4 & 2->Swap 1 & 4->DONE,18,100,1,Swap 7 & 4->Swap 7 & 1->Swap 0 & 6->Swap 2 & 7->Swap 3 & 7->Swap 4 & 1->Swap 6 & 8->Swap 4 & 2->Swap 3 & 4->Swap 4 & 3->Swap 2 & 4->Swap 7 & 3->Swap 7 & 2->Swap 8 & 6->Swap 6 & 0->Swap 4 & 7->Swap 1 & 7->Swap 1 & 4->DONE,
