Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time(mili),Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time(mili),Man. Seq.,
123456780,123476580,6,56,0,Swap 5 & 4->Swap 7 & 5->Swap 4 & 7->Swap 5 & 4->Swap 7 & 5->Swap 4 & 7->DONE,6,34,1,Swap 5 & 4->Swap 7 & 5->Swap 4 & 7->Swap 5 & 4->Swap 7 & 5->Swap 4 & 7->DONE,
123456780,124638750,32,514,2,Swap 6 & 5->Swap 7 & 4->Swap 0 & 5->Swap 8 & 6->Swap 0 & 3->Swap 0 & 2->Swap 7 & 1->Swap 6 & 8->Swap 1 & 7->Swap 8 & 4->Swap 6 & 0->Swap 4 & 0->Swap 5 & 0->Swap 4 & 6->Swap 8 & 7->Swap 0 & 5->Swap 6 & 4->Swap 5 & 0->Swap 6 & 1->Swap 1 & 6->Swap 0 & 5->Swap 4 & 6->Swap 2 & 4->Swap 6 & 8->Swap 5 & 0->Swap 3 & 8->Swap 8 & 3->Swap 3 & 4->Swap 4 & 8->Swap 4 & 6->Swap 8 & 6->Swap 5 & 8->DONE,32,77,0,Swap 6 & 5->Swap 7 & 4->Swap 0 & 5->Swap 8 & 6->Swap 0 & 3->Swap 0 & 2->Swap 7 & 1->Swap 6 & 8->Swap 1 & 7->Swap 8 & 4->Swap 6 & 0->Swap 4 & 0->Swap 5 & 0->Swap 4 & 6->Swap 8 & 7->Swap 0 & 5->Swap 6 & 4->Swap 5 & 0->Swap 6 & 1->Swap 1 & 6->Swap 0 & 5->Swap 4 & 6->Swap 2 & 4->Swap 6 & 8->Swap 5 & 0->Swap 3 & 8->Swap 8 & 3->Swap 3 & 4->Swap 5 & 8->Swap 5 & 6->Swap 4 & 6->Swap 4 & 5->DONE,
123456780,123546780,4,12,0,Swap 5 & 4->Swap 6 & 4->Swap 4 & 6->Swap 4 & 5->DONE,4,12,0,Swap 5 & 4->Swap 6 & 4->Swap 4 & 6->Swap 4 & 5->DONE,
123456780,375162840,28,564,2,Swap 5 & 2->Swap 3 & 5->Swap 2 & 3->Swap 8 & 7->Swap 8 & 4->Swap 3 & 2->Swap 4 & 8->Swap 6 & 2->Swap 2 & 5->Swap 4 & 1->Swap 7 & 6->Swap 5 & 2->Swap 0 & 2->Swap 6 & 8->Swap 1 & 4->Swap 3 & 1->Swap 8 & 6->Swap 7 & 1->Swap 2 & 0->Swap 1 & 4->Swap 6 & 4->Swap 2 & 6->Swap 4 & 8->Swap 7 & 3->Swap 1 & 7->Swap 4 & 7->Swap 5 & 3->Swap 2 & 5->DONE,28,78,0,Swap 5 & 2->Swap 3 & 5->Swap 2 & 3->Swap 8 & 7->Swap 8 & 4->Swap 3 & 2->Swap 4 & 8->Swap 6 & 2->Swap 2 & 5->Swap 4 & 1->Swap 7 & 6->Swap 5 & 2->Swap 0 & 2->Swap 6 & 8->Swap 1 & 4->Swap 3 & 1->Swap 8 & 6->Swap 7 & 1->Swap 2 & 0->Swap 1 & 4->Swap 6 & 4->Swap 7 & 3->Swap 1 & 7->Swap 5 & 3->Swap 2 & 6->Swap 2 & 5->Swap 4 & 8->Swap 4 & 7->DONE,
123456780,713208456,22,283,1,Swap 0 & 8->Swap 7 & 4->Swap 2 & 1->Swap 3 & 1->Swap 1 & 3->Swap 7 & 2->Swap 0 & 5->Swap 0 & 1->Swap 1 & 2->Swap 2 & 1->Swap 8 & 6->Swap 4 & 2->Swap 1 & 0->Swap 3 & 1->Swap 2 & 4->Swap 1 & 3->Swap 5 & 0->Swap 6 & 8->Swap 8 & 0->Swap 2 & 7->Swap 1 & 2->Swap 4 & 7->DONE,22,67,0,Swap 0 & 8->Swap 7 & 4->Swap 2 & 1->Swap 3 & 1->Swap 1 & 3->Swap 7 & 2->Swap 0 & 5->Swap 0 & 1->Swap 1 & 2->Swap 2 & 1->Swap 8 & 6->Swap 4 & 2->Swap 1 & 0->Swap 3 & 1->Swap 2 & 4->Swap 1 & 3->Swap 2 & 7->Swap 1 & 2->Swap 4 & 7->Swap 5 & 0->Swap 6 & 8->Swap 8 & 0->DONE,
123456780,123460785,4,34,1,Swap 6 & 5->Swap 0 & 5->Swap 5 & 0->Swap 5 & 6->DONE,4,23,0,Swap 6 & 5->Swap 0 & 5->Swap 5 & 0->Swap 5 & 6->DONE,
123456780,326108745,22,555,3,Swap 8 & 5->Swap 7 & 4->Swap 5 & 4->Swap 4 & 5->Swap 0 & 5->Swap 8 & 7->Swap 6 & 3->Swap 6 & 2->Swap 0 & 7->Swap 0 & 8->Swap 3 & 8->Swap 2 & 6->Swap 7 & 4->Swap 3 & 0->Swap 3 & 1->Swap 8 & 0->Swap 4 & 8->Swap 1 & 3->Swap 4 & 3->Swap 5 & 0->Swap 5 & 3->Swap 3 & 6->DONE,22,89,0,Swap 8 & 5->Swap 7 & 4->Swap 5 & 4->Swap 4 & 5->Swap 0 & 5->Swap 8 & 7->Swap 6 & 3->Swap 6 & 2->Swap 0 & 7->Swap 0 & 8->Swap 3 & 8->Swap 2 & 6->Swap 7 & 4->Swap 3 & 0->Swap 3 & 1->Swap 4 & 0->Swap 5 & 8->Swap 8 & 0->Swap 1 & 3->Swap 4 & 3->Swap 5 & 3->Swap 3 & 6->DONE,
123456780,120456783,14,67,0,Swap 5 & 4->Swap 0 & 6->Swap 6 & 0->Swap 0 & 6->Swap 4 & 5->Swap 7 & 4->Swap 6 & 0->Swap 6 & 3->Swap 4 & 7->Swap 0 & 3->Swap 0 & 6->Swap 6 & 0->Swap 3 & 0->Swap 3 & 6->DONE,14,34,1,Swap 5 & 4->Swap 0 & 6->Swap 6 & 0->Swap 0 & 6->Swap 4 & 5->Swap 7 & 4->Swap 6 & 0->Swap 6 & 3->Swap 4 & 7->Swap 0 & 3->Swap 0 & 6->Swap 6 & 0->Swap 3 & 0->Swap 3 & 6->DONE,
123456780,156843720,10,67,0,Swap 5 & 2->Swap 2 & 4->Swap 7 & 2->Swap 8 & 2->Swap 8 & 7->Swap 6 & 3->Swap 3 & 6->Swap 4 & 8->Swap 2 & 8->Swap 2 & 5->DONE,10,45,0,Swap 5 & 2->Swap 2 & 4->Swap 7 & 2->Swap 8 & 2->Swap 8 & 7->Swap 6 & 3->Swap 3 & 6->Swap 4 & 8->Swap 2 & 8->Swap 2 & 5->DONE,
123456780,164850273,18,1636,5,Swap 5 & 2->Swap 2 & 4->Swap 8 & 7->Swap 8 & 2->Swap 6 & 3->Swap 4 & 5->Swap 6 & 4->Swap 5 & 8->Swap 0 & 3->Swap 8 & 5->Swap 3 & 0->Swap 4 & 6->Swap 3 & 6->Swap 2 & 8->Swap 7 & 8->Swap 5 & 2->Swap 2 & 4->Swap 4 & 5->DONE,18,99,1,Swap 5 & 2->Swap 2 & 4->Swap 8 & 7->Swap 8 & 2->Swap 6 & 3->Swap 4 & 5->Swap 6 & 4->Swap 5 & 8->Swap 0 & 3->Swap 8 & 5->Swap 4 & 6->Swap 2 & 8->Swap 3 & 0->Swap 3 & 6->Swap 7 & 8->Swap 2 & 1->Swap 4 & 2->Swap 1 & 4->DONE,
123456780,836140572,16,407,1,Swap 3 & 2->Swap 6 & 2->Swap 0 & 8->Swap 8 & 0->Swap 5 & 4->Swap 8 & 7->Swap 8 & 5->Swap 0 & 2->Swap 8 & 1->Swap 7 & 5->Swap 2 & 0->Swap 2 & 6->Swap 2 & 3->Swap 1 & 8->Swap 4 & 8->Swap 5 & 8->DONE,16,78,0,Swap 3 & 2->Swap 6 & 2->Swap 0 & 8->Swap 8 & 0->Swap 5 & 4->Swap 8 & 7->Swap 8 & 5->Swap 0 & 2->Swap 8 & 1->Swap 1 & 8->Swap 5 & 8->Swap 4 & 5->Swap 2 & 0->Swap 2 & 6->Swap 2 & 3->Swap 7 & 8->DONE,
123456780,461570283,18,438,1,Swap 8 & 7->Swap 4 & 1->Swap 5 & 2->Swap 2 & 1->Swap 8 & 2->Swap 6 & 3->Swap 1 & 5->Swap 5 & 8->Swap 7 & 8->Swap 6 & 1->Swap 0 & 3->Swap 3 & 0->Swap 7 & 5->Swap 1 & 6->Swap 3 & 6->Swap 2 & 7->Swap 2 & 4->Swap 1 & 2->DONE,18,78,1,Swap 8 & 7->Swap 4 & 1->Swap 5 & 2->Swap 2 & 1->Swap 8 & 2->Swap 6 & 3->Swap 1 & 5->Swap 5 & 8->Swap 7 & 8->Swap 6 & 1->Swap 0 & 3->Swap 1 & 6->Swap 7 & 5->Swap 2 & 7->Swap 2 & 4->Swap 1 & 2->Swap 3 & 0->Swap 3 & 6->DONE,
123456780,453026178,24,197,0,Swap 8 & 5->Swap 5 & 8->Swap 0 & 8->Swap 8 & 6->Swap 2 & 1->Swap 0 & 5->Swap 6 & 8->Swap 5 & 0->Swap 1 & 2->Swap 0 & 7->Swap 4 & 1->Swap 6 & 3->Swap 0 & 1->Swap 3 & 5->Swap 3 & 2->Swap 5 & 6->Swap 6 & 2->Swap 5 & 3->Swap 2 & 6->Swap 2 & 5->Swap 1 & 0->Swap 1 & 4->Swap 7 & 0->Swap 8 & 0->DONE,24,56,0,Swap 8 & 5->Swap 5 & 8->Swap 0 & 8->Swap 8 & 6->Swap 2 & 1->Swap 0 & 5->Swap 6 & 8->Swap 5 & 0->Swap 1 & 2->Swap 0 & 7->Swap 4 & 1->Swap 6 & 3->Swap 0 & 1->Swap 3 & 5->Swap 3 & 2->Swap 5 & 6->Swap 6 & 2->Swap 5 & 3->Swap 2 & 6->Swap 2 & 5->Swap 1 & 0->Swap 1 & 4->Swap 7 & 0->Swap 8 & 0->DONE,
123456780,265430178,22,1896,11,Swap 7 & 4->Swap 0 & 8->Swap 6 & 3->Swap 2 & 1->Swap 5 & 1->Swap 0 & 1->Swap 1 & 4->Swap 0 & 7->Swap 3 & 6->Swap 4 & 7->Swap 6 & 3->Swap 4 & 0->Swap 6 & 5->Swap 3 & 0->Swap 8 & 0->Swap 7 & 1->Swap 3 & 6->Swap 8 & 6->Swap 1 & 8->Swap 5 & 3->Swap 1 & 5->Swap 1 & 2->DONE,22,220,1,Swap 7 & 4->Swap 0 & 8->Swap 6 & 3->Swap 2 & 1->Swap 5 & 1->Swap 0 & 1->Swap 1 & 4->Swap 0 & 7->Swap 3 & 6->Swap 4 & 7->Swap 6 & 3->Swap 4 & 0->Swap 6 & 5->Swap 3 & 0->Swap 3 & 6->Swap 5 & 3->Swap 8 & 0->Swap 8 & 6->Swap 7 & 1->Swap 1 & 8->Swap 1 & 5->Swap 1 & 2->DONE,
123456780,543126708,8,66,1,Swap 0 & 8->Swap 4 & 1->Swap 5 & 2->Swap 5 & 4->Swap 8 & 0->Swap 1 & 5->Swap 2 & 4->Swap 4 & 5->DONE,8,45,0,Swap 0 & 8->Swap 4 & 1->Swap 5 & 2->Swap 5 & 4->Swap 1 & 5->Swap 2 & 4->Swap 4 & 5->Swap 8 & 0->DONE,
123456780,462385710,16,472,2,Swap 4 & 1->Swap 8 & 7->Swap 6 & 3->Swap 0 & 7->Swap 8 & 1->Swap 6 & 2->Swap 7 & 0->Swap 3 & 5->Swap 3 & 8->Swap 7 & 1->Swap 3 & 4->Swap 1 & 8->Swap 1 & 6->Swap 5 & 6->Swap 1 & 3->Swap 2 & 3->DONE,16,88,0,Swap 4 & 1->Swap 8 & 7->Swap 6 & 3->Swap 0 & 7->Swap 8 & 1->Swap 6 & 2->Swap 7 & 0->Swap 3 & 5->Swap 3 & 8->Swap 7 & 1->Swap 3 & 4->Swap 1 & 8->Swap 1 & 6->Swap 1 & 3->Swap 2 & 3->Swap 5 & 6->DONE,
123456780,326175480,16,368,2,Swap 5 & 2->Swap 7 & 4->Swap 6 & 2->Swap 2 & 3->Swap 6 & 5->Swap 8 & 4->Swap 3 & 5->Swap 3 & 7->Swap 4 & 8->Swap 2 & 6->Swap 3 & 1->Swap 1 & 3->Swap 7 & 3->Swap 4 & 7->Swap 5 & 3->Swap 3 & 6->DONE,16,56,0,Swap 5 & 2->Swap 7 & 4->Swap 6 & 2->Swap 2 & 3->Swap 6 & 5->Swap 8 & 4->Swap 3 & 5->Swap 3 & 7->Swap 4 & 8->Swap 2 & 6->Swap 3 & 1->Swap 1 & 3->Swap 7 & 3->Swap 4 & 7->Swap 5 & 3->Swap 3 & 6->DONE,
123456780,364527810,26,5878,22,Swap 4 & 1->Swap 5 & 1->Swap 8 & 1->Swap 8 & 5->Swap 6 & 3->Swap 6 & 2->Swap 1 & 7->Swap 3 & 2->Swap 0 & 2->Swap 7 & 5->Swap 5 & 1->Swap 2 & 0->Swap 6 & 4->Swap 5 & 8->Swap 2 & 7->Swap 3 & 4->Swap 3 & 6->Swap 2 & 6->Swap 1 & 8->Swap 7 & 6->Swap 7 & 5->Swap 2 & 3->Swap 4 & 3->Swap 4 & 2->Swap 1 & 7->Swap 1 & 4->DONE,26,111,0,Swap 4 & 1->Swap 5 & 1->Swap 8 & 1->Swap 8 & 5->Swap 6 & 3->Swap 6 & 2->Swap 1 & 7->Swap 3 & 2->Swap 0 & 2->Swap 7 & 5->Swap 5 & 1->Swap 2 & 0->Swap 6 & 4->Swap 5 & 8->Swap 2 & 7->Swap 3 & 4->Swap 3 & 6->Swap 2 & 6->Swap 7 & 6->Swap 7 & 5->Swap 1 & 8->Swap 1 & 7->Swap 2 & 3->Swap 4 & 3->Swap 4 & 2->Swap 1 & 4->DONE,
123456780,123456870,2,12,0,Swap 8 & 7->Swap 7 & 8->DONE,2,12,0,Swap 8 & 7->Swap 7 & 8->DONE,
123456780,73152486,28,1605,6,Swap 7 & 4->Swap 8 & 5->Swap 6 & 8->Swap 5 & 6->Swap 0 & 8->Swap 7 & 1->Swap 5 & 2->Swap 0 & 2->Swap 0 & 5->Swap 1 & 7->Swap 7 & 1->Swap 4 & 1->Swap 2 & 3->Swap 0 & 7->Swap 3 & 2->Swap 2 & 5->Swap 5 & 2->Swap 3 & 7->Swap 8 & 6->Swap 7 & 3->Swap 1 & 4->Swap 7 & 0->Swap 1 & 7->Swap 4 & 7->Swap 2 & 5->Swap 2 & 0->Swap 5 & 0->Swap 6 & 0->DONE,28,100,1,Swap 7 & 4->Swap 8 & 5->Swap 6 & 8->Swap 5 & 6->Swap 0 & 8->Swap 7 & 1->Swap 5 & 2->Swap 0 & 2->Swap 0 & 5->Swap 1 & 7->Swap 7 & 1->Swap 4 & 1->Swap 2 & 3->Swap 0 & 7->Swap 3 & 2->Swap 2 & 5->Swap 5 & 2->Swap 3 & 7->Swap 8 & 6->Swap 7 & 3->Swap 1 & 4->Swap 7 & 0->Swap 1 & 7->Swap 4 & 7->Swap 5 & 0->Swap 2 & 0->Swap 2 & 5->Swap 6 & 0->DONE,
